epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,837.919,0.7213,0.58,0.91712,0.80693,0.7139,0.78642,0.56537,0.93383,0.78818,0.97334,0.000742815,0.000742815,0.000742815
58,852.86,0.71996,0.54306,0.89841,0.86274,0.76226,0.84013,0.59408,0.91782,0.75389,0.9613,0.000726312,0.000726312,0.000726312
59,867.219,0.70372,0.52962,0.9042,0.85697,0.80552,0.85371,0.59178,0.94497,0.71494,0.98311,0.000709809,0.000709809,0.000709809
60,881.699,0.72568,0.53221,0.89845,0.84001,0.82554,0.84718,0.59808,0.9262,0.70582,0.97558,0.000693305,0.000693305,0.000693305
61,895.741,0.70845,0.51537,0.89268,0.86778,0.80481,0.84509,0.60651,0.94804,0.77043,0.99341,0.000676802,0.000676802,0.000676802
62,909.951,0.67949,0.51955,0.89294,0.89632,0.74394,0.82351,0.56239,1.02406,0.84808,1.04293,0.000660299,0.000660299,0.000660299
63,924.189,0.68223,0.53065,0.89707,0.89462,0.75936,0.84172,0.59287,0.9466,0.73005,0.99117,0.000643795,0.000643795,0.000643795
64,937.854,0.67816,0.51328,0.88241,0.83285,0.74421,0.82208,0.59386,0.94372,0.71593,0.98816,0.000627292,0.000627292,0.000627292
65,951.111,0.68499,0.50757,0.88931,0.87771,0.77451,0.79601,0.56315,0.92229,0.80226,0.98246,0.000610789,0.000610789,0.000610789
66,964.031,0.64702,0.51733,0.88635,0.86074,0.78966,0.80429,0.56677,0.94869,0.80977,0.971,0.000594286,0.000594286,0.000594286
67,977.65,0.70484,0.52404,0.90203,0.84943,0.75909,0.79953,0.59025,0.91343,0.73564,0.95724,0.000577782,0.000577782,0.000577782
68,992.024,0.71237,0.50874,0.90447,0.72794,0.84938,0.81781,0.56566,0.90515,0.74531,0.98023,0.000561279,0.000561279,0.000561279
69,1005.95,0.65891,0.48227,0.89016,0.86351,0.72675,0.80317,0.58199,0.9,0.76715,0.99299,0.000544776,0.000544776,0.000544776
70,1019.41,0.67865,0.50382,0.87183,0.87248,0.74852,0.81165,0.59099,0.88251,0.756,0.96877,0.000528272,0.000528272,0.000528272
71,1033.23,0.66934,0.48123,0.87635,0.85627,0.74421,0.81056,0.57211,0.9062,0.73757,0.98249,0.000511769,0.000511769,0.000511769
72,1046.4,0.68483,0.4914,0.8881,0.84027,0.78966,0.83303,0.598,0.9271,0.73929,0.98449,0.000495266,0.000495266,0.000495266
